arcgis,,es,,,,,,
Albania,阿尔巴尼亚,阿尔巴尼亚,TRUE,,,,,
Algeria,阿尔及利亚,阿尔及利亚,TRUE,,,,,
Afghanistan,阿富汗,阿富汗,TRUE,,,,,
Argentina,阿根廷,阿根廷,TRUE,,,,,
United Arab Emirates,阿联酋,阿联酋,TRUE,,,,,
,,阿鲁巴,FALSE,,,,,
Oman,阿曼,阿曼,TRUE,,,,,
Azerbaijan,阿塞拜疆,阿塞拜疆,TRUE,,,,,
Egypt,埃及,埃及,TRUE,,,,,
Ethiopia,埃塞俄比亚,埃塞俄比亚,TRUE,,,,,
Ireland,爱尔兰,爱尔兰,TRUE,,,,,
Estonia,爱沙尼亚,爱沙尼亚,TRUE,,,,,
Andorra,安道尔,安道尔,TRUE,,,,,
Angola,安哥拉,安哥拉,TRUE,,,,,
,,安圭拉,FALSE,,,,,
Antigua and Barbuda,安提瓜和巴布达,安提瓜和巴布达,TRUE,,,,,
Austria,奥地利,奥地利,TRUE,,,,,
Australia,澳大利亚,澳大利亚,TRUE,,,,,
,,奥兰群岛,FALSE,,,,,
Barbados,巴巴多斯,巴巴多斯,TRUE,,,,,
Papua New Guinea,巴布亚新几内亚,巴布亚新几内亚,TRUE,,,,,
"Bahamas, The",巴哈马,巴哈马,TRUE,,,,,
Pakistan,巴基斯坦,巴基斯坦,TRUE,,,,,
Paraguay,巴拉圭,巴拉圭,TRUE,,,,,
,,巴勒斯坦,FALSE,,,,,
Bahrain,巴林,巴林,TRUE,,,,,
Panama,巴拿马,巴拿马,TRUE,,,,,
Brazil,巴西,巴西,TRUE,,,,,
,,白俄罗斯,FALSE,,,,,
Bermuda,百慕大,百慕大,TRUE,,,,,
Bulgaria,保加利亚,保加利亚,TRUE,,,,,
,,北马里亚纳群岛,FALSE,,,,,
Benin,贝宁,贝宁,TRUE,,,,,
Belgium,比利时,比利时,TRUE,,,,,
Iceland,冰岛,冰岛,TRUE,,,,,
Puerto Rico,波多黎各,波多黎各,TRUE,,,,,
Poland,波兰,波兰,TRUE,,,,,
,,波斯尼亚和黑塞哥维那,FALSE,,,,,
Bolivia,玻利维亚,玻利维亚,TRUE,,,,,
Belize,伯利兹,伯利兹,TRUE,,,,,
Botswana,博茨瓦纳,博茨瓦纳,TRUE,,,,,
,,不丹,FALSE,,,,,
Burundi,布隆迪,布隆迪,TRUE,,,,,
Denmark,丹麦,丹麦,TRUE,,,,,
Germany,德国,德国,TRUE,,,,,
,,东帝汶,FALSE,,,,,
Togo,多哥,多哥,TRUE,,,,,
Dominican Republic,多米尼克,多米尼克,TRUE,,,,,
Dominica,多米尼加,多米尼加,TRUE,,,,,
Russia,俄罗斯,俄罗斯,TRUE,,,,,
Ecuador,厄瓜多尔,厄瓜多尔,TRUE,,,,,
France,法国,法国,TRUE,,,,,
,,法罗群岛,FALSE,,,,,
French Polynesia,法属波利尼西亚,法属波利尼西亚,TRUE,,,,,
,,梵蒂冈,FALSE,,,,,
Philippines,菲律宾,菲律宾,TRUE,,,,,
Fiji,斐济,斐济,TRUE,,,,,
Finland,芬兰,芬兰,TRUE,,,,,
,,刚果(布),FALSE,,,,,
Congo,刚果(金),刚果(金),TRUE,,,,,
Colombia,哥伦比亚,哥伦比亚,TRUE,,,,,
Costa Rica,哥斯达黎加,哥斯达黎加,TRUE,,,,,
Grenada,格林纳达,格林纳达,TRUE,,,,,
Greenland,格陵兰,格陵兰,TRUE,,,,,
Georgia,格鲁吉亚,格鲁吉亚,TRUE,,,,,
,,根西岛,FALSE,,,,,
Cuba,古巴,古巴,TRUE,,,,,
,,瓜德罗普,FALSE,,,,,
,,关岛,FALSE,,,,,
Kazakhstan,哈萨克斯坦,哈萨克斯坦,TRUE,,,,,
Haiti,海地,海地,TRUE,,,,,
"Korea, Peoples Republic of",韩国,韩国,TRUE,,,,,
Netherlands,荷兰,荷兰,TRUE,,,,,
,,荷属圣马丁,FALSE,,,,,
,,黑山,FALSE,,,,,
Honduras,洪都拉斯,洪都拉斯,TRUE,,,,,
Djibouti,吉布提,吉布提,TRUE,,,,,
Kyrgyzstan,吉尔吉斯斯坦,吉尔吉斯斯坦,TRUE,,,,,
Canada,加拿大,加拿大,TRUE,,,,,
Ghana,加纳,加纳,TRUE,,,,,
Gabon,加蓬,加蓬,TRUE,,,,,
,,柬埔寨,FALSE,,,,,
Czech Republic,捷克,捷克,TRUE,,,,,
Cameroon,喀麦隆,喀麦隆,TRUE,,,,,
Qatar,卡塔尔,卡塔尔,TRUE,,,,,
,,开曼群岛,FALSE,,,,,
,,科索沃,FALSE,,,,,
Ivory Coast,科特迪瓦,科特迪瓦,TRUE,,,,,
Kuwait,科威特,科威特,TRUE,,,,,
,,克罗地亚,FALSE,,,,,
Kenya,肯尼亚,肯尼亚,TRUE,,,,,
,,库克群岛,FALSE,,,,,
,,库拉索,FALSE,,,,,
Latvia,拉脱维亚,拉脱维亚,TRUE,,,,,
Lesotho,莱索托,莱索托,TRUE,,,,,
Laos,老挝,老挝,TRUE,,,,,
Lebanon,黎巴嫩,黎巴嫩,TRUE,,,,,
Lithuania,立陶宛,立陶宛,TRUE,,,,,
Liechtenstein,列支敦士登,列支敦士登,TRUE,,,,,
Reunion,留尼汪岛,留尼汪岛,TRUE,,,,,
Luxembourg,卢森堡,卢森堡,TRUE,,,,,
,,卢旺达,FALSE,,,,,
Romania,罗马尼亚,罗马尼亚,TRUE,,,,,
Madagascar,马达加斯加,马达加斯加,TRUE,,,,,
,,马恩岛,FALSE,,,,,
